"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2033,"vint_2033","CO2 (GTC)",4.00467988727657
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2034,"vint_2034","CO2 (GTC)",4.11433494797587
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2035,"vint_2035","CO2 (GTC)",4.21723960958477
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2036,"vint_2036","CO2 (GTC)",4.31320348973502
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2037,"vint_2037","CO2 (GTC)",4.40222658842663
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2038,"vint_2038","CO2 (GTC)",4.48430890565959
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2039,"vint_2039","CO2 (GTC)",4.55945044143391
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2040,"vint_2040","CO2 (GTC)",4.62765119574958
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2041,"vint_2041","CO2 (GTC)",4.68713219138652
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2042,"vint_2042","CO2 (GTC)",4.73789342834472
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2043,"vint_2043","CO2 (GTC)",4.77993490662419
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2044,"vint_2044","CO2 (GTC)",4.81325662622493
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2045,"vint_2045","CO2 (GTC)",4.83785858714694
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2046,"vint_2046","CO2 (GTC)",4.85702472782698
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2047,"vint_2047","CO2 (GTC)",4.87075504826507
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2048,"vint_2048","CO2 (GTC)",4.87904954846119
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2049,"vint_2049","CO2 (GTC)",4.88190822841536
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2050,"vint_2050","CO2 (GTC)",4.87933108812756
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2051,"vint_2051","CO2 (GTC)",4.87605947041551
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2052,"vint_2052","CO2 (GTC)",4.8720933752792
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2053,"vint_2053","CO2 (GTC)",4.86743280271864
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2054,"vint_2054","CO2 (GTC)",4.86207775273382
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2055,"vint_2055","CO2 (GTC)",4.85602822532475
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2056,"vint_2056","CO2 (GTC)",4.84997557174553
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2057,"vint_2057","CO2 (GTC)",4.84391979199617
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2058,"vint_2058","CO2 (GTC)",4.83786088607666
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2059,"vint_2059","CO2 (GTC)",4.831798853987
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2060,"vint_2060","CO2 (GTC)",4.8257336957272
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2061,"vint_2061","CO2 (GTC)",4.819128847925
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2062,"vint_2062","CO2 (GTC)",4.8119843105804
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2063,"vint_2063","CO2 (GTC)",4.80430008369341
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2064,"vint_2064","CO2 (GTC)",4.79607616726402
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2065,"vint_2065","CO2 (GTC)",4.78731256129223
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2066,"vint_2066","CO2 (GTC)",4.77835534241567
