"전력수요","원자력","유연탄","무연탄","바이오가스","부생가스","소수력","수력","양수","매립가스","중유","태양광","폐기물","풍력","LNG","LPG","연료전지","경유","해양에너지","바이오매스","IGCC","바이오중유","기타"
67495,15893.99128,29256.1677,281.905624,43.21272,40.587449,71.987229,101.357233,0.222496,23.992512,493.524509,500.17558,130.45833,12.314698,17276.66983,0,551.149301,0,181.021176,600.210756,237.94736,187.602072,64.099678
74379,15888.18835,29867.05377,311.521254,42.14215,187.417929,78.69563,408.38631,145.683526,24.019758,493.097235,1000.383599,131.091021,12.517276,20884.63297,0,550.980863,0,76.44924,594.610084,238.79744,187.339488,63.935631
78265,15884.33168,29867.58238,331.871354,42.501081,354.176389,87.368997,427.087312,544.105331,24.014225,492.606623,1477.438574,129.084658,14.158574,23719.02437,0,550.47727,0,0,592.457336,241.68032,190.497328,63.968375
79859,15888.81915,30075.75476,329.424563,42.227002,374.245861,91.401727,428.139249,542.872247,21.418562,492.100504,1634.955402,131.656016,14.615983,24761.79767,0,550.002073,0,0,590.739825,240.71488,204.328376,63.871915
80777,15885.01266,30162.432,328.6713,42.447194,353.137526,92.727634,445.526592,538.38221,21.380109,493.324244,1783.297152,130.877163,20.029791,25428.02911,0,549.483855,0,0,597.450429,240.02216,210.929432,63.830191
79180,15873.71567,29281.61959,329.409432,42.607015,293.347585,95.855457,205.36292,21.946945,21.281658,498.365019,2022.268991,131.3038,37.558345,25304.68012,0,549.424686,0,0,605.204239,241.25528,203.860552,63.674135
81614,15825.79603,29501.35524,331.133806,42.762052,300.956111,91.453213,310.244993,481.667402,20.049382,522.778452,2342.026709,130.980945,102.727635,26543.6474,0,550.388854,0,0,605.562518,241.14272,203.726264,63.608204
83370,15799.43441,30048.0894,330.585591,43.329314,248.956699,84.038923,352.838503,703.693044,19.624526,585.793493,2169.284234,127.832997,93.817389,27535.33569,0,550.821352,0,0,606.432501,241.11472,203.749224,63.505399
84094,15784.73474,30018.19343,329.927772,44.185695,269.732999,76.660324,399.31405,801.082902,22.746573,609.64342,1793.66426,131.070159,78.751585,28205.28125,0,550.817733,0,25.429488,606.667242,239.5176,203.798224,63.481819
84877,15782.63632,29992.05048,329.876752,44.319477,223.788851,74.241695,441.003466,1104.183772,23.568904,561.817655,1994.436591,131.590003,67.600712,28615.71974,0,550.874036,2.452464,177.907128,602.792362,243.83688,203.80024,63.412378
84543,15791.13572,29963.9847,330.068415,45.244441,245.248233,72.716818,423.065915,1240.389853,23.692642,519.890569,1626.04977,134.975507,54.741724,28174.55613,0,551.598207,4.420416,213.209304,598.99279,244.36328,204.23732,63.354358
83178,15805.6218,29975.44638,330.926043,46.254738,265.769942,74.036099,409.638258,1260.413369,23.715025,530.645718,1169.628405,133.783789,32.289143,27156.44362,0,551.162257,9.043664,201.364632,593.933202,243.61568,208.516448,63.635888
82106,15810.36394,29808.01715,330.49752,46.318794,236.054775,78.931528,386.859896,1089.588692,23.960525,522.769278,832.578336,136.552851,28.125674,26924.9435,0,551.459134,51.56704,139.909224,601.944659,241.07776,206.421488,63.576281
79140,15810.75842,29559.66603,329.546194,45.893774,220.836416,87.152352,297.635408,649.469509,23.579253,521.737881,439.494485,136.793062,65.300547,25234.52754,0,551.936234,53.951632,24.214848,596.549279,242.70848,205.8378,63.592091
74805,15811.68307,28781.16384,330.633895,45.96704,244.667682,93.435899,261.947288,161.027774,23.580254,518.98057,147.273408,134.622882,83.682265,22669.29084,0,552.926402,39.308752,0,597.135094,240.35424,187.882632,63.661644
70071,15845.44544,28532.60887,330.258719,45.224992,321.915607,96.782978,175.414032,31.352345,23.58172,517.304237,62.10888,132.851758,96.958797,18677.93654,0,552.941207,0,0,604.213941,237.77208,185.653328,63.826756
67906,15877.29931,27985.46944,298.507649,45.074088,60.652706,97.134569,124.066013,0,23.586967,493.965524,14.338942,132.948237,122.355212,17605.85777,0,553.305707,0,0,604.599357,237.94344,184.6866,65.540167
63826,15890.52334,26475.27932,271.997795,45.591023,37.84976,95.835117,101.347896,0,23.587372,493.881168,3.469448,133.780787,109.476178,15254.55152,0,553.171486,0,0,599.402045,238.53872,184.498328,66.017225
61606,15886.60173,26481.12153,273.496366,45.611856,38.540664,92.90793,100.058412,0,23.590274,497.218566,2.031217,131.980817,75.481062,13536.44879,0,553.207825,0,0,603.053649,237.67408,184.44048,64.565793
60259,15899.43023,26518.79322,274.938872,44.923174,38.814843,87.513091,102.3298,0,23.632698,496.952045,1.478409,132.81216,51.914737,13596.62001,0,553.029884,0,0,602.220798,235.9392,184.665432,64.903954
59473,15900.11203,26522.26977,275.917745,44.127501,39.215452,78.974772,102.66837,0,23.670299,496.720755,1.337573,132.505661,40.976112,12931.05367,0,553.063247,0,82.609632,600.414855,235.76448,184.532768,64.905197
59297,15889.58199,26496.51369,276.83745,43.65193,38.809949,75.341489,102.356276,0,23.675651,496.102811,0.362737,135.175379,45.865215,12679.46368,0,553.068018,0,206.361624,604.278604,236.60672,184.19772,64.499054
60007,15894.18185,27170.3166,276.09253,43.949422,38.560154,73.567785,102.38945,0,23.674451,491.321078,0.612369,135.148438,64.493153,12622.36482,0,553.037735,0,249.499488,602.946712,235.85744,184.01768,64.128137
62817,15911.04677,28400.1231,274.109955,44.053432,38.830462,73.30502,103.294174,0,23.690219,490.188038,88.100013,137.179749,72.968552,14039.21732,0,552.832558,0,248.718288,600.417127,235.35512,184.06836,64.181168
67512,15903.99119,29588.15424,283.828838,44.454719,38.538619,73.872186,101.006738,0.212608,23.738093,490.668586,406.579994,135.40868,51.97477,16898.34994,0,552.629065,0,228.441024,600.746417,237.20368,184.690016,64.510347
74023,15895.3514,29829.29095,319.792199,42.448337,131.522764,77.555556,434.248822,84.923965,23.893048,494.116322,907.204918,133.232383,57.349665,20733.29037,0,552.385536,0,141.910776,599.577113,237.8824,184.843288,64.646535
77285,15897.946,30004.26221,332.505313,42.125218,313.948551,81.624143,451.74894,243.778515,23.230328,493.480188,1491.547506,135.695651,51.070376,23051.58004,0,552.171181,0,30.324,598.031709,238.36848,197.119048,64.358636
78255,15909.6994,29560.061,330.907032,41.462794,363.569235,87.209796,459.983549,515.148925,22.693228,491.471694,1722.977381,134.404208,32.427657,23767.44424,0,551.509741,0,0,602.513751,237.27984,205.30832,64.261011
78488,15913.43287,29086.2892,329.115538,41.953465,334.539811,92.007923,476.31988,481.626373,23.076512,499.752459,2002.182942,131.503837,26.500446,24254.62484,0,551.483751,0,0,606.880141,238.5096,195.77208,64.443439
77040,15894.6569,29105.5438,330.228069,44.633045,345.50684,96.083804,241.964109,0,23.548275,515.909036,2216.760695,131.887141,46.352022,23694.6479,0,551.120893,0,0,604.870436,241.07104,185.948112,64.79798
79878,15839.36586,29648.06445,329.627864,45.961972,327.069675,96.912404,357.817571,54.964085,23.608253,515.072324,2547.345069,134.460428,126.411962,25051.94846,0,551.346808,0,0,605.344088,242.10144,198.901472,64.760894
81040,15833.85137,29828.96949,330.226905,46.385297,318.367731,93.90478,393.401542,212.80176,24.0014,514.927699,2590.553387,131.627951,131.380334,25648.26731,0,551.087045,0,0,605.426907,242.60544,184.826488,64.528242
81846,15797.41603,30047.45247,329.696924,46.724525,285.921731,86.626135,402.990809,402.434345,24.193686,515.112522,2315.918113,127.080543,114.937623,25967.71726,0,551.962615,0,0,602.827784,242.3596,184.820272,64.100478
83543,15765.37873,30027.34241,328.622609,47.218251,310.176322,81.497557,453.116834,1313.543484,23.684181,514.360032,2166.802101,129.351048,66.584457,26880.146,0,551.932225,5.36592,116.878104,602.396758,241.85504,194.932304,64.209614
83818,15760.35462,30078.6833,327.622011,47.359547,334.487813,78.459397,453.57458,1766.598897,23.229888,514.118254,1660.11323,131.313489,67.509866,26815.43117,0,552.378076,49.3864,209.077848,600.850311,242.98848,184.560992,64.875965
82414,15781.32222,30068.42068,330.45717,47.19983,327.864198,77.36204,470.910189,1914.161672,23.443019,482.841156,1222.149903,132.035334,59.518792,25705.65311,0,553.395145,54.985728,224.731752,602.599187,243.0344,199.530408,65.621058
81814,15820.88514,30065.61854,329.732424,46.901348,267.598024,78.442812,449.249968,1411.785849,23.244944,285.361375,927.883437,135.421582,66.304015,26194.32544,0,554.262118,54.184928,192.705912,605.923634,242.55728,205.251984,65.553294
79250,15857.41498,30208.03055,327.010555,46.936882,257.924552,85.122712,381.405111,1293.525098,22.891221,277.783826,492.960284,138.339051,54.826383,24071.80444,0,554.818354,54.186496,115.304448,601.971334,241.25136,205.756376,65.659749
75023,15869.79469,29799.4449,327.987294,46.914988,247.300291,91.534561,271.597092,951.49807,22.355162,277.374948,232.124656,140.8376,33.749728,21314.05719,0,554.802403,22.17712,3.208128,598.8835,242.24424,206.120712,65.505988
70330,15875.24678,28611.46583,329.384407,46.406629,308.775379,97.833176,189.029177,190.636483,22.019869,261.066905,96.371899,140.599233,23.089648,18989.10574,0,555.128399,0,0,601.860483,241.05704,206.000312,64.927829
67850,15887.44166,27595.23854,299.37944,45.87152,54.060173,99.28928,137.343853,0,22.334282,252.248871,30.615998,138.744417,26.654386,17952.13882,0,555.061506,0,0,602.229498,240.97136,205.671704,64.932624
63634,15900.0432,26866.31533,270.729878,45.647469,39.314014,98.448016,103.959091,0,22.171797,252.937982,5.737947,139.783462,24.691571,14840.07171,0,555.260317,0,0,603.444397,241.04416,205.732072,63.986759
61360,15906.17745,26839.71491,275.322778,45.726837,39.627388,96.77419,103.162405,0,21.94001,253.148707,2.211661,138.627331,17.766419,13227.45785,0,555.847586,0,0,602.93431,242.0684,205.739408,65.243787
60016,15909.26936,26827.82338,276.861504,45.57206,39.65442,93.242235,103.025008,0,22.080299,253.06667,1.145176,139.767907,12.665676,13269.64831,0,556.123684,0,0,603.950724,240.3324,205.447256,65.951904
59066,15917.5715,26736.20238,274.988146,45.230237,39.710552,87.41511,102.829542,0,22.551891,251.273141,0.786324,142.121056,19.574091,12628.49735,0,556.223124,0,1.741992,607.725072,241.54536,205.694552,65.134687
59136,15933.96137,26787.42917,276.19224,44.90684,39.765984,80.680244,102.888165,0,22.924875,250.258283,0.153356,141.666456,26.873186,12571.11797,0,556.226499,0,152.601456,611.07264,242.40776,205.723224,65.208576
60046,15930.37138,27298.49446,274.937126,44.983759,39.71344,77.282774,103.036569,0,22.873955,248.411479,0.629027,140.295453,38.070215,13156.19099,0,556.241076,0,229.189128,606.004907,243.00192,210.257824,64.558199
62804,15922.73591,28524.81684,274.272906,45.439369,39.544911,76.955262,103.469878,0,23.220869,252.024825,115.465227,137.275697,34.494965,14926.58317,0,556.236036,0,250.20912,605.642735,241.64616,206.6974,64.128704
67333,15930.54139,29338.54212,281.781859,45.652921,39.052906,75.303543,100.946154,0.338665,23.90941,252.900417,505.607629,138.091041,29.243664,17917.60349,0,555.7035,0,245.389704,605.258612,241.68536,205.270968,64.245014
74260,15920.73693,29413.04457,318.443583,45.674088,42.123623,76.8229,342.720248,452.435263,23.596107,260.350222,1009.212229,141.756857,33.787961,21160.01351,0,554.509631,0,191.949744,551.994377,242.8468,205.280768,64.061244
78470,15913.85592,29637.85735,331.389291,45.982205,44.925304,83.314335,335.549888,987.350443,23.196034,279.120955,1400.892993,141.473656,27.15785,24080.86881,0,544.116115,0,95.08548,540.138567,241.96032,205.41416,63.960191
80325,15908.67787,29638.90364,331.011204,45.254503,46.367497,88.947075,399.369646,1154.600269,23.469219,279.826138,1535.041238,142.346291,32.345348,25471.88803,0,549.204652,0,0.302232,544.604775,242.89944,206.115,63.879717
81037,15908.37744,29718.32795,329.034644,45.961579,47.525239,99.23917,438.274461,728.047296,23.508496,280.339998,1723.605743,139.820189,43.325597,26322.90372,0,550.971935,0,0,546.378892,240.28088,198.00592,63.960848
79585,15881.36001,29737.04401,330.584427,46.941503,70.454376,100.818973,271.69076,21.522136,23.44139,280.565288,1794.480154,140.179802,37.409245,25653.95613,0,551.126905,0,0,545.292083,187.03832,186.350808,64.085516
82698,15843.42423,30016.29848,331.243798,46.479754,115.072197,98.858107,438.23937,670.53179,24.011986,281.207506,1725.967615,137.258502,78.148678,27573.45357,0,551.614524,0,0,547.54337,179.00008,186.720128,64.042367
85163,15849.71895,30299.06617,330.030004,45.936763,148.164353,95.007256,452.248734,1227.528897,24.344563,279.52303,1369.458473,132.681123,101.537108,29270.95612,0,551.55955,0,0,547.187356,186.63344,186.593624,64.517121
86169,15831.33151,30338.20953,331.677947,44.97862,85.640086,93.063444,426.76549,1270.953288,24.482984,275.455934,1028.665632,130.669414,84.373311,30388.83544,0,552.307056,0,0,547.769651,189.01624,186.084976,65.319328
86355,15828.1921,30218.12804,328.870916,46.502031,57.273261,84.088883,451.928117,1258.392043,24.762202,285.730064,1382.303737,131.795312,58.274362,30714.07896,0,552.570693,1.493856,20.918688,550.211754,190.43024,185.996104,65.995194
85168,15836.7186,29926.07472,329.326404,45.708688,38.183423,77.683766,404.749795,1244.66874,24.479579,298.222684,1249.406269,133.708158,60.735575,29674.37849,0,552.84801,31.975104,177.910992,549.287814,192.45856,185.9158,66.211034
82997,15811.60094,29850.08669,330.421864,46.194143,62.239952,75.788382,402.180081,1084.681311,24.349557,298.140729,1094.012186,138.40905,44.474948,27771.39456,0,553.433709,55.309408,221.409384,547.420217,193.43016,185.591784,65.854152
81953,15791.95989,29881.45252,330.826332,46.149044,39.162494,74.697451,381.21476,696.371073,23.876904,299.058465,732.317064,139.901251,49.620976,27346.72772,0,553.867397,55.274464,219.73224,549.659525,232.22416,185.51932,65.930523
78630,15810.56659,29804.6943,330.244558,46.36982,37.768905,76.789715,307.486386,80.072618,23.475082,298.047545,281.268949,137.56728,40.760489,25355.26389,0,553.840038,54.801152,170.637768,545.761748,199.12984,185.716832,65.908969
74097,15829.81708,29632.70848,329.311661,47.014125,70.260507,84.419339,249.518522,0,23.508242,292.575597,121.305059,138.071433,45.141246,21614.68174,0,553.131196,1.886528,85.78416,537.637866,195.58224,185.777312,65.919908
69669,15830.29877,28622.47304,329.737856,46.252717,40.437524,91.888901,165.497818,0,23.263869,275.389478,47.654836,135.449083,39.276522,18665.75336,0,552.963015,0,0.792624,537.029634,192.68704,186.096344,65.733742
67820,15866.62791,27725.19053,292.641402,45.926651,38.691728,96.512135,112.191491,0,22.824652,242.2797,13.865332,138.680863,50.052225,18203.30906,0,552.632965,0,0,526.869911,192.53864,185.767456,65.471857
